cardId,dbfId,name,cardSet,type,faction,rarity,cost,runeCost,attack,health,durability,spellSchool,text,flavor,artist,collectible,elite,race,img,imgGold,locale
EX1_621,1362,Circle of Healing,Classic,Spell,,Common,0,,,,,Holy,Restore #4 Health to ALL_minions.,It isn't really a circle.,Daarken,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3744dfa03c79d7614eb091d4bab21da82f27038e74796c709217e00f7d9fbbf8.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c172b02a864f5a90c1588820263897e6b1982977889e384da0df72740afbc0fa.png,enUS
EX1_607,22,Inner Rage,Classic,Spell,Neutral,Common,0,,,,,,Deal $1 damage to a minion and give it +2_Attack.,They're only smiling on the outside.,Slawomir Maniak,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bc286530a2962c07e7784d4f034ef3375fce67f779ef68c98ce7551753b20ab6.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/abb68da5ff2f70f84ecaa827ff05501beb5b472cb4de476175619552c2d5a987.png,enUS
EX1_145,1158,Preparation,Classic,Spell,Neutral,Epic,0,,,,,,The next spell you cast this turn costs (2) less.,"""Be Prepared"" - Rogue Motto",Clint Langley,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4387cee6d06e8ba368f9af46e165b52968c9dd2859a167dc1edfd94f297008a4.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffa84a0ba189aa9a7b1d0887aef3e743bfbe8da56d2dd30ee0ef8a41b4c29d19.png,enUS
EX1_144,365,Shadowstep,Classic,Spell,Neutral,Common,0,,,,,Shadow,Return a friendly minion to your hand. It_costs (2) less.,Rogue dance troops will sometimes Shadowstep away at the end of a performance.  Crowds love it.,Graven Tung,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa2767b4ee1e70a61811bd1ea40d34598315a87fb01486da6e93e36c53386253.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c78dc2961c79dddc6a19214d27dd7fde4aa470d71f19e45c30f92b22ad61ecbb.png,enUS
EX1_332,1189,Silence,Classic,Spell,Neutral,Common,0,,,,,Shadow,<b>Silence</b> a minion.,"Reserved for enemy spellcasters, evil liches from beyond the grave, and karaoke nights at the Grim Guzzler.",Zoltan & Gabor,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/141efe9d97f8d27d468c37334c74155eabcd3680db5fa1c4782a7c173b740fba.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f97eb66da382d98a8bed91e68f5d6c828782bd79d9622af925af944b9f816710.png,enUS
CS2_231,179,Wisp,Classic,Minion,Neutral,Common,0,,1,1,,,,"If you hit an Eredar Lord with enough Wisps, it will explode.   But why?",Malcolm Davis,True,,Undead,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9e5664cd014df6d0a9114ce5487370b98e67f09265986feca3fb0c9348e3ebe.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a532d6fdce2d739eb8c3ea6b46757f4bb692990771b41e07b0c6bc58de3cc708.png,enUS
CS2_188,242,Abusive Sergeant,Classic,Minion,Alliance,Common,1,,1,1,,,<b>Battlecry:</b> Give a minion +2_Attack this turn.,"ADD ME TO YOUR DECK, MAGGOT!",Luca Zontini,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8cc6f521dac86c945f12424cf0a4c4b78d73157d4797e3169c3cc8dbe2fbb9d1.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2866f600b26992ef766b00d90a97c372f99cd7bb9c04d7a0391c798ddfeb75fd.png,enUS
EX1_009,1688,Angry Chicken,Classic,Minion,,Rare,1,,1,1,,,Has +5 Attack while damaged.,There is no beast more frightening (or ridiculous) than a fully enraged chicken.,Mike Sass,True,,Beast,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f2a8f00741cc29c6abdd3fb0c2187687abb85d0e8db96d14b2c9cd6865b5025.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69de2cea9ca06fd0f8d09f26d76275d1a0e7f14da17c9addcdb53ad0831706f1.png,enUS
EX1_008,757,Argent Squire,Classic,Minion,Alliance,Common,1,,1,1,,,<b>Divine Shield</b>,"""I solemnly swear to uphold the Light, purge the world of darkness, and to eat only burritos."" - The Argent Dawn Oath",Zoltan & Gabor,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d47cfe4af7c8bc2673cde0e05d3c1bfad052a806e74ac0ead0b8b5d72ed528c2.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e033c4d384e88d511874ad1f3e064d8c4b7365d473f1d4281c734fb00406b752.png,enUS
EX1_549,903,Bestial Wrath,Classic,Spell,Neutral,Epic,1,,,,,,Give a friendly Beast +2 Attack and <b>Immune</b> this turn.,"The seething wrath is just beneath the surface.  Beneath that is wild abandon, followed by slight annoyance.",Alex Horley Orlandelli,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4bc3f18fa202a3083d5a9e6810f2a3e71083f238ff274c47ebe1e02e4ebfd0bc.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5203d0c9c287ae1f13993cb38cf9d86d7a3aa040703f82d3efb2de6fdec3708.png,enUS
